Kode #Nama Barang,Kode #,Nama Barang
410142BIAYA PPN,410142,BIAYA PPN
410143SEWA LAINNYA - RESTO,410143,SEWA LAINNYA - RESTO
410144ASET DALAM PENYELESAIAN - RESTO,410144,ASET DALAM PENYELESAIAN - RESTO
410145BIAYA INTERNET - RESTO,410145,BIAYA INTERNET - RESTO
410146BIAYA PERJALANAN DINAS PIHAK KETIGA - RESTO,410146,BIAYA PERJALANAN DINAS PIHAK KETIGA - RESTO
410148JASA LAINNYA BADAN - RESTO,410148,JASA LAINNYA BADAN - RESTO
410149BEBAN SEWA KENDARAAN - CP,410149,BEBAN SEWA KENDARAAN - CP
410150JASA LAINNYA PP23,410150,JASA LAINNYA PP23
410153JASA LAINNYA PRIBADI - HO,410153,JASA LAINNYA PRIBADI - HO
410154JASA LAINNYA BADAN - HO,410154,JASA LAINNYA BADAN - HO
410157JASA LAINNYA PRIBADI - DC,410157,JASA LAINNYA PRIBADI - DC
410158JASA LAINNYA BADAN - DC,410158,JASA LAINNYA BADAN - DC
410159JASA LAINNYA (ORANG PRIBADI) - CP,410159,JASA LAINNYA (ORANG PRIBADI) - CP
410160JASA LAINNYA (BADAN USAHA) - CP,410160,JASA LAINNYA (BADAN USAHA) - CP
410161BEBAN LISTRIK - RESTO,410161,BEBAN LISTRIK - RESTO
410166BEBAN INTERNET - CP,410166,BEBAN INTERNET - CP
410169Spare parts it cost - HO,410169,Spare parts it cost - HO
410170Spare parts it cost - CP,410170,Spare parts it cost - CP
410171Spare parts it cost - DC,410171,Spare parts it cost - DC
410172PDAM - RESTO,410172,PDAM - RESTO
410174ASET DALAM PENYELESAIAN - CP,410174,ASET DALAM PENYELESAIAN - CP
410176BEBAN TELEPON & PULSA - RESTO,410176,BEBAN TELEPON & PULSA - RESTO
410177JASA PEMELIHARAAN INVENTARIS - CP,410177,JASA PEMELIHARAAN INVENTARIS - CP
410179JASA PEMELIHARAAN INVENTARIS - DC,410179,JASA PEMELIHARAAN INVENTARIS - DC
410180BIAYA SERAGAM HO,410180,BIAYA SERAGAM HO
410183JERIGEN 5L,410183,JERIGEN 5L
410184TUTUP JERIGEN 5L,410184,TUTUP JERIGEN 5L
410188BEBAN AIR - RESTO,410188,BEBAN AIR - RESTO
